doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vinuni-course-registration-summer-2026,data/vinuni_services/course-registration-summer-2026.md,Đăng ký học phần VinUniDigi học kỳ Hè 2026,https://registrar.vinuni.edu.vn/2026/06/29/announcement-launch-of-the-new-student-portal-for-summer-2026-course-registration/,2026-08-03,2026-06-29,public-official-page-summary
vinuni-course-registration-spring-2026,data/vinuni_services/course-registration-spring-2026.md,Mốc đăng ký học phần học kỳ Xuân 2026,https://registrar.vinuni.edu.vn/2025/12/15/official-announcement-spring-2026-course-registration/,2026-08-03,2025-12-15,public-official-page-summary
vinuni-undergraduate-tuition-2026-2027,data/vinuni_services/undergraduate-tuition-2026-2027.md,Học phí đại học VinUni năm học 2026–2027,https://admissions.vinuni.edu.vn/tuition-fee/undergraduate/,2026-08-03,2026-07,public-official-page-summary
vinuni-scholarship-financial-aid,data/vinuni_services/scholarship-financial-aid.md,Học bổng và hỗ trợ tài chính VinUni,https://admissions.vinuni.edu.vn/undergraduate/faqs/tuition-fee-scholarship-and-financial-aids/,2026-08-03,not-stated,public-official-page-summary
vinuni-library-access-services,data/vinuni_services/library-access-services.md,Chính sách truy cập và dịch vụ thư viện VinUni,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-08-03,POL-LLR-001-V4.0,public-policy-summary
vinuni-library-borrowing-privileges,data/vinuni_services/library-borrowing-privileges.md,Quyền mượn tài liệu thư viện VinUni,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-08-03,not-stated,public-official-page-summary
vinuni-residential-life-guideline,data/vinuni_services/residential-life-guideline.md,Hướng dẫn đời sống nội trú VinUni,https://policy.vinuni.edu.vn/all-policies/residential-life-guideline/,2026-08-03,GDL-SAM-008-V5.0,public-guideline-summary
vinuni-dormitory-faq,data/vinuni_services/dormitory-faq.md,Câu hỏi thường gặp về ký túc xá VinUni,https://admissions.vinuni.edu.vn/undergraduate/faqs/residence-life-in-dorm/,2026-08-03,not-stated,public-official-page-summary
